Data Year,ID,Property Name,Address,ZIP Code,Community Area,Primary Property Type,Gross Floor Area - Buildings (sq ft),Year Built,# of Buildings,ENERGY STAR Score,Electricity Use (kBtu),Natural Gas Use (kBtu),District Steam Use (kBtu),District Chilled Water Use (kBtu),All Other Fuel Use (kBtu),Site EUI (kBtu/sq ft),Source EUI (kBtu/sq ft),Weather Normalized Site EUI (kBtu/sq ft),Weather Normalized Source EUI (kBtu/sq ft),Total GHG Emissions (Metric Tons CO2e),GHG Intensity (kg CO2e/sq ft),Latitude,Longitude,Location
2017,116752,Ike Sims Benchmarking,3333 Maypole Avenue,60624,EAST GARFIELD PARK,Multifamily Housing,68664,1981,1,9,3806516,2204780,,,,87.5,207.8,91.7,218.5,820.9,12,41.8808242,-87.72327934,"(41.8808242, -87.72327934)"
2017,252066,The Park Monroe Condominium Homes Association,65 E. Monroe St.,60603,LOOP,Multifamily Housing,480820,2009,1,37,18303074,4985342,,,,48.4,130.4,50.6,135.6,3648.9,7.6,41.880771,-87.625598,"(41.880771, -87.625598)"
2017,102309,Schurz High-CPS,3601 N MILWAUKEE AVE,60641,IRVING PARK,K-12 School,455800,1910,1,76,13009349,29323982,,,,92.9,157.2,103.7,168.6,3962.9,8.7,41.94750755,-87.735506,"(41.94750755, -87.735506)"
2017,174155,Sovereign- ID#174155,1040 W Granville,60660,EDGEWATER,Multifamily Housing,140000,1925,1,1,4978582,21710200,,,,190.6,274.5,200.6,283.5,2073.6,14.8,41.99090057,-87.66660744,"(41.99090057, -87.66660744)"
2017,173476,St. Demetrios Greek Orthodox Church,2727 W Winona ST,60625,LINCOLN SQUARE,Worship Facility,63141,1924,1,51,837999,2642882,,,,55.1,85.6,61.8,92.1,295.3,4.7,41.97419798,-87.696868,"(41.97419798, -87.696868)"
2017,101878,200 West Jackson Boulevard Building,200 West Jackson Blvd.,60606,LOOP,Office,545162,1971,1,85,16932787,22487494,,7493208,,86.1,154.6,89.8,158.5,4720.1,8.7,41.87843672,-87.63410024,"(41.87843672, -87.63410024)"
2017,101804,401 N Michigan Avenue,401 N Michigan Avenue,60611,NEAR NORTH SIDE,Office,878884,1965,1,83,29935005,53891244,,,,95.4,171.3,100.3,176.5,8397.2,9.6,41.88961452,-87.62297649,"(41.88961452, -87.62297649)"
2017,115022,Yesteryear Condo Association,4221 N Paulina,60613,LAKE VIEW,Multifamily Housing,77680,1936,1,90,473064,3394863,,,,49.8,65,54.3,69.7,267.8,3.4,41.95402016,-87.6620278,"(41.95402016, -87.6620278)"
2017,175516,2617 West Gunnison,2617 - 2625 West Gunnison Street,60625,LINCOLN SQUARE,Multifamily Housing,55067,1925,1,63,519654,4580782,,,,92.6,117,102.7,127.1,339.4,6.2,41.97208235,-87.70234945,"(41.97208235, -87.70234945)"
2017,101942,Nordstrom #220 Michigan Avenue,55 E Grand Ave,60611,NEAR NORTH SIDE,Retail Store,349978,2000,1,64,18592578,3714941,,,,63.7,178,65.4,183.3,3635,10.4,41.89129703,-87.6260419,"(41.89129703, -87.6260419)"
