Data Year,ID,Property Name,Reporting Status,Address,ZIP Code,Chicago Energy Rating,Exempt From Chicago Energy Rating,Community Area,Primary Property Type,Gross Floor Area - Buildings (sq ft),Year Built,# of Buildings,Water Use (kGal),ENERGY STAR Score,Electricity Use (kBtu),Natural Gas Use (kBtu),District Steam Use (kBtu),District Chilled Water Use (kBtu),All Other Fuel Use (kBtu),Site EUI (kBtu/sq ft),Source EUI (kBtu/sq ft),Weather Normalized Site EUI (kBtu/sq ft),Weather Normalized Source EUI (kBtu/sq ft),Total GHG Emissions (Metric Tons CO2e),GHG Intensity (kg CO2e/sq ft),Latitude,Longitude,Location
2018,251568,Vaughn Occup-CPS,Submitted,4355 N LINDER AVE,60641,1.0,false,PORTAGE PARK,K-12 School,50289,1950,1,625,26,2208132.4,2449622.1,,,,92.6,174.1,90.5,171.2,497.5,9.9,41.96026421,-87.76436775,"(41.96026421, -87.76436775)"
2018,251478,JacksonA-CPS,Submitted,1340 W Harrison St,60607,1.0,false,NEAR WEST SIDE,K-12 School,74135,1989,1,2580,18,3085526.5,3794631.1,,,,92.8,170.3,90.8,164.6,714.9,9.6,41.8747803,-87.66106163,"(41.8747803, -87.66106163)"
2018,251620,Seward Commu-CPS,Submitted,4600 S HERMITAGE AVE,60609,3.0,false,NEW CITY,K-12 School,98375,1896,1,,67,1471237.3,5242841.1,,,,68.2,97.8,66.3,95.8,523.2,5.3,41.80990474,-87.66901222,"(41.80990474, -87.66901222)"
2018,254386,Halas Recreation Center- ID# 254386,Submitted,6458 N Winthrop Ave,60626,4.0,false,Rogers Park,College/University,122180,1982,1,,,5630919.1,966330.3,,,,54,137.3,53.7,136.4,988.1,8.1,42.00660309,-87.66729325,"(42.00660309, -87.66729325)"
2018,173658,212 West Superior Street,Submitted,212 West Superior Street,60654,4.0,false,NEAR NORTH SIDE,Office,92454,1920,1,326,72,3073577.4,3366590.3,,,,69.7,131.3,67.1,126.9,690.1,7.5,41.89561827,-87.63484054,"(41.89561827, -87.63484054)"
2018,159315,1401 South State,Submitted,1401 South State Street,60605,1.0,false,NEAR SOUTH SIDE,Multifamily Housing,287705,2008,1,13168,6,11226271.6,24515143,,,,124.2,198.7,124.5,197.2,3169.8,11,41.86368261,-87.6269152,"(41.86368261, -87.6269152)"
2018,160278,"Fourth Prairie Shores, LLC",Submitted,2851 S King Drive,60616,1.0,false,DOUGLAS,Multifamily Housing,289267,1960,1,21246,29,5256216.7,30590150.4,,,,123.9,161.9,125.4,162.6,2499.2,8.6,41.8426876,-87.61626372,"(41.8426876, -87.61626372)"
2018,160419,Caroline Hedger Apartment,Submitted,6400 N. Sherdian Rd,60626,4.0,false,ROGERS PARK,Multifamily Housing,255892,1970,1,9913,93,5959160.4,11003305.1,,,,66.3,110.4,66.3,110.4,1575.8,6.2,41.99842087,-87.66122515,"(41.99842087, -87.66122515)"
2018,240752,200 N. Dearborn CA,Submitted,200 N. Dearborn Street,60601,3.0,false,LOOP,Multifamily Housing,359953,1989,1,12220,42,9467706.3,22861539.6,,,,89.8,140.3,91,141.6,2789.4,7.7,41.88603988,-87.62982289,"(41.88603988, -87.62982289)"
2018,146897,Vision Rentals,Submitted,1624 W. Division St,60622,1.0,false,WEST TOWN,Multifamily Housing,62218,2009,1,2179,,2079719.8,4578011.9,,,,107,170.9,108.4,172.3,589.2,9.5,41.90225377,-87.68447845,"(41.90225377, -87.68447845)"
2018,103628,"SVF Fulton Chicago, LLC",Submitted,1000 West Fulton,60607,4.0,false,NEAR WEST SIDE,Office,562792,1923,1,356,72,19027591.2,29397799.1,,,,86,149.5,86,149.5,4727,8.4,41.88677646,-87.65227883,"(41.88677646, -87.65227883)"
2018,157975,Lake Meadows 9,Submitted,501 E. 32nd Street,60616,1.0,false,DOUGLAS,Multifamily Housing,303979,1956,1,26141,24,2588558.2,42434023.6,,,,148.1,170.4,150.7,173.1,2684.5,8.8,41.83569627,-87.61275453,"(41.83569627, -87.61275453)"
2018,174228,Roscoe Square,Submitted,3330 N Western Ave,60618,3.5,false,NORTH CENTER,Supermarket/Grocery Store,51298,1981,1,101,53,8038245.5,,,,,156.7,438.8,156.7,438.8,1337.3,26.1,41.94133511,-87.68998877,"(41.94133511, -87.68998877)"
2018,251536,Wentworth ES-CPS,Submitted,1340 W 71st St,60636,3.0,false,WEST ENGLEWOOD,K-12 School,102616,1905,1,2683,41,2144210.7,6556763.2,,,,84.8,125.6,83.7,124.5,705,6.9,41.76532371,-87.65837324,"(41.76532371, -87.65837324)"
2018,252068,Hampton Inn Majestic,Submitted,22 W Monroe St,60603,3.5,false,LOOP,Hotel,70265,1906,1,4334,58,3761825.5,2466301.2,,,,88.6,186.8,87.8,184.2,756.8,10.8,41.880768,-87.628592,"(41.880768, -87.628592)"
2018,160329,Lafayette Plaza Housing Cooperative,Submitted,50 W 71st St,60621,3.0,false,GREATER GRAND CROSSING,Multifamily Housing,224058,1965,1,16384,65,3880563.1,18986170,,,,102.1,137.5,103.5,139,1654,7.4,41.76573166,-87.62237195,"(41.76573166, -87.62237195)"
2018,242537,James Kilmer Condo Association,Submitted,1560 North Sandburg Terrace,60610,3.0,false,NEAR NORTH SIDE,Multifamily Housing,750266,1971,2,24002,62,16387692.7,47345232.5,,,,84.9,127.4,85.3,126.6,5241.1,7,41.9104154,-87.63270387,"(41.9104154, -87.63270387)"
2018,175220,Joshua's Prayer House Coptic Temple,Not Submitted,6855 S EMERALD ST,60621,0.0,false,ENGLEWOOD,,52214,,1,325,,,,,,,,,,,,,41.76908947,-87.64274666,"(41.76908947, -87.64274666)"
2018,251527,Key Elementary -CPS,Exempt,509 N Parkside,60644,,true,AUSTIN,,75500,,1,,,,,,,,,,,,,,41.889514,-87.766401,"(41.889514, -87.766401)"
2018,251228,444 North Wells Street,Submitted,444 North Wells Street,60654,4.0,false,NEAR NORTH SIDE,Office,73332,1903,1,689,87,3270016.4,,,,,44.6,124.9,44.2,123.8,544,7.4,41.89053894,-87.6340678,"(41.89053894, -87.6340678)"
2018,250051,Simeon Caree-CPS,Submitted,8235 S VINCENNES AVE,60620,1.0,false,CHATHAM,K-12 School,284691,2003,1,1481,26,12899731.3,17352568.2,,,,106.3,190.9,104.2,188,3067.7,10.8,41.744236,-87.635863,"(41.744236, -87.635863)"
2018,173683,676 La Salle Building,Not Submitted,676 N LaSalle St,60654,0.0,false,NEAR NORTH SIDE,,61000,,1,219,,,,,,,,,,,,,41.89454949,-87.63269715,"(41.89454949, -87.63269715)"
2018,251380,Motley School Apartments,Exempt,739 N Ada St,60642,,true,WEST TOWN,,57743,,1,,,,,,,,,,,,,,41.8954882,-87.66111127,"(41.8954882, -87.66111127)"
2018,252013,900 North Franklin,Submitted,900 North Franklin Street,60610,2.0,false,NEAR NORTH SIDE,Office,95866,1928,1,2112,40,5516555.7,452328.7,,,,62.3,166.1,60.7,161.7,941.8,9.8,41.89935826,-87.63609615,"(41.89935826, -87.63609615)"
2018,174157,The Bridgeport,Submitted,3450 S. Halsted St.,60608,1.0,false,BRIDGEPORT,Multifamily Housing,97813,2007,1,5147,1,4652917.1,10792083.8,,,,157.9,249,152.5,241.7,1347.3,13.8,41.84915346,-87.67089596,"(41.84915346, -87.67089596)"
2018,252078,UNO Soccer Academy High School,Not Submitted,5025 S ST LOUIS,60632,0.0,false,GAGE PARK,,93408,,1,638,,,,,,,,,,,,,41.80806486,-87.71097656,"(41.80806486, -87.71097656)"
2018,251617,Budlong Elem-CPS,Submitted,2701 W Foster Ave,60625,3.0,false,LINCOLN SQUARE,K-12 School,102352,1905,1,2054,67,1877351.7,4788375.2,,,,65.1,100.5,65.2,100.5,566.7,5.5,41.97552409,-87.69722301,"(41.97552409, -87.69722301)"
2018,103614,Ann & Robert H. Lurie Children's Hospital of Chicago,Submitted,225 E Chicago Ave,60611,2.5,false,NEAR NORTH SIDE,Hospital (General Medical & Surgical),1250000,2012,1,53649,52,117159072.3,166470765.2,,,1932965.9,228.5,403.8,226,400.2,28476.6,22.8,41.896764,-87.621559,"(41.896764, -87.621559)"
2018,103651,425 South Financial,Submitted,425 South Financial Place (440 South LaSalle),60605,2.5,false,LOOP,Office,1157744,1984,1,23067,60,88821900.5,1189749.6,,,,77.7,215.9,76.9,213.5,14840,12.8,41.87595944,-87.63219354,"(41.87595944, -87.63219354)"
2018,254347,New Malcolm X College,Submitted,1900 W Jackson Blvd,60612,3.0,false,Near West Side,College/University,545000,2016,1,8755,,28653314.1,28852302.6,,,,105.5,202.8,106.1,203.4,6299.4,11.6,41.8768705,-87.68381102,"(41.8768705, -87.68381102)"
2018,251576,Henry Elemen-CPS,Submitted,4250 N St Louis Ave,60618,4.0,false,IRVING PARK,K-12 School,90100,1904,1,211,95,1231367.3,1333977.5,,,,28.5,53.8,28.7,54.2,275.7,3.1,41.95872281,-87.71583845,"(41.95872281, -87.71583845)"
2018,166264,University Center Chicago,Submitted,525 S State St,60605,3.5,false,LOOP,Residence Hall/Dormitory,674000,2004,1,34561,73,24481171.7,25196108.1,,,,73.7,141,72.4,139.5,5411.1,8,41.8750023,-87.62716306,"(41.8750023, -87.62716306)"
2018,114008,Shoreline Park Condominium Association,Submitted,4950 N. Marine Drive,60640,3.5,false,UPTOWN,Multifamily Housing,388924,1953,1,16806,71,7222340.8,29276426.2,,,,93.8,131,94.4,130.3,2756.6,7.1,41.97275894,-87.65157513,"(41.97275894, -87.65157513)"
2018,173715,2738 N. Pine Grove,Submitted,2738 N. Pine Grove Ave.,60614,4.0,false,LINCOLN PARK,Multifamily Housing,103203,1927,1,4565,91,1552262.1,6987301.9,,,,82.7,113.2,83.9,114.4,629.4,6.1,41.92201051,-87.65461957,"(41.92201051, -87.65461957)"
2018,100637,Addison Towers,Submitted,510-534 Addison,60616,1.0,false,LAKE VIEW,Multifamily Housing,68667,1920,1,3676,3,1664446.6,8970830.8,,,,154.9,205,155.3,205.5,753.4,11,41.95402016,-87.6620278,"(41.95402016, -87.6620278)"
2018,103600,10 South LaSalle Street,Submitted,10 South LaSalle Street,60603,2.5,false,LOOP,Office,871962,1986,1,8608,50,53426426.7,891536.6,,,,62.3,172.6,61.2,169.6,8935.6,10.2,41.88160573,-87.6327278,"(41.88160573, -87.6327278)"
2018,233760,Park Newberry,Submitted,55 W. Delaware Place,60610,2.5,false,NEAR NORTH SIDE,Multifamily Housing,260055,1995,1,8600,37,5734777,24731826.8,,,,117.2,161.6,117.6,161.9,2267.7,8.7,41.89821936,-87.63056762,"(41.89821936, -87.63056762)"
2018,174498,Trio-Abacus,Submitted,660 W Wayman St,60661,4.0,false,NEAR WEST SIDE,Multifamily Housing,280146,2010,1,2211,91,5068734.1,8996726.8,,,,50.2,84.4,48.2,81.4,1321.1,4.7,41.887491,-87.644997,"(41.887491, -87.644997)"
2018,101030,Oakwood Shores Sr,Submitted,3750 S Cottage Grove,60653,4.0,false,OAKLAND,Multifamily Housing,76017,2012,1,,61,1918910.8,3530270.9,,,,71.7,119.4,72.1,119.3,506.7,6.7,41.82021138,-87.61246867,"(41.82021138, -87.61246867)"
2018,127877,Howard & Western Shopping Center,Submitted,7510-7578 North Western Avenue,60645,3.0,false,WEST RIDGE,Retail Store,69302,1957,1,698,,4072003.6,1698748.1,,,,83.3,190.3,84,191,767.7,11.1,42.01798909,-87.69083907,"(42.01798909, -87.69083907)"
2018,116810,Verde Condo Association,Submitted,680 N Green Street,60642,3.5,false,WEST TOWN,Multifamily Housing,70950,1999,1,2966,76,2294222,2606200,,,,69.1,129.1,66.2,124.7,520.1,7.3,41.89983093,-87.65764114,"(41.89983093, -87.65764114)"
2018,101363,1101 E Hyde Park,Submitted,1101 E Hyde Park Boulevard,60615,1.5,false,HYDE PARK,Multifamily Housing,69631,1923,1,2391,38,364763.3,5936799.6,,,,90.5,104.2,91.8,105.1,376,5.4,41.80224043,-87.60332678,"(41.80224043, -87.60332678)"
2018,251334,Seton Hall,Submitted,2425 N. Sheffield,60614,2.0,false,LINCOLN PARK,College/University,50174,1989,1,,,2197140.3,3847614.1,,,,120.5,203.1,119.1,201.5,569.9,11.4,41.92481459,-87.6532449,"(41.92481459, -87.6532449)"
2018,251287,SpringHill Suites O'Hare,Submitted,8101 W. Higgins,60631,1.0,false,NORWOOD PARK,Hotel,160000,2000,1,9373,6,13845592.3,11553399.8,,,,158.7,318.1,159.1,318.5,2917.1,18.2,41.98515127,-87.83015397,"(41.98515127, -87.83015397)"
2018,172761,Cosmopolitan Lofts Condominium Association,Submitted,1133 S. Wabash Ave.,60605,4.0,false,LOOP,Multifamily Housing,100448,1892,1,1578,98,1406395.7,2861103.6,,,,42.5,69.1,40.9,66.6,385.9,3.8,41.86863212,-87.62730687,"(41.86863212, -87.62730687)"
2018,102083,Pratt Blvd Place Condo Assoc,Submitted,1645-63 W Pratt condo Assoc,60626,3.5,false,ROGERS PARK,Multifamily Housing,68000,1930,1,2528,72,935208.7,3931513,,,,71.6,99.2,71.3,97.4,364.4,5.4,42.01036185,-87.66829765,"(42.01036185, -87.66829765)"
2018,134776,University Club of Chicago,Submitted,76 East Monroe Street,60603,2.0,false,LOOP,Hotel,144036,1907,1,2354,,10961104.6,29874998.8,,,,283.5,430.9,283.3,430.3,3410.3,23.7,41.880838,-87.624993,"(41.880838, -87.624993)"
2018,251272,Walmart Supercenter #01-5781,Submitted,8331 S Stewart Ave,60620,1.0,false,CHATHAM,Wholesale Club/Supercenter,148364,2012,1,3057,22,14009924.5,6864362.9,,,,140.7,313,139,310.9,2695.3,18.2,41.742502,-87.634048,"(41.742502, -87.634048)"
2018,159807,Sheridan Tower,Submitted,5650 N. Sheridan Rd.,60680,1.0,false,EDGEWATER,Multifamily Housing,119304,1967,1,8289,9,3004466.6,15973602.8,,,,159.1,211.1,160.9,211.8,1348.3,11.3,41.98449002,-87.65573421,"(41.98449002, -87.65573421)"
2018,159534,420 East Ohio,Submitted,420 East Ohio,60611,4.0,false,NEAR NORTH SIDE,Multifamily Housing,330285,1990,1,8110,67,7548490.4,17125337.1,,,,74.7,118.4,73.8,117.5,2165.4,6.6,41.8928582,-87.61664044,"(41.8928582, -87.61664044)"
2018,251348,Excel-Woodlawn-CPS,Submitted,7530 S SOUTH SHORE DR,60649,3.5,false,SOUTH SHORE,K-12 School,73930,1975,1,153,78,2722033.2,72311.5,,,,37.8,104.1,36.8,101.4,456.7,6.2,41.75961455,-87.55680138,"(41.75961455, -87.55680138)"
2018,116697,1322 1328 S WABASH AVE,Not Submitted,1322 1328 S WABASH AVE,60605,0.0,false,NEAR SOUTH SIDE,,166015,,1,2521,,,,,,,,,,,,,41.86863212,-87.62730687,"(41.86863212, -87.62730687)"
2018,105596,Commonwealth Apartments LLC,Submitted,2751-2765 N. Pine Grove Ave.,60614,2.0,false,LINCOLN PARK,Multifamily Housing,101893,1927,1,6465,45,3778643.3,4679688.5,,,,83,152.1,82.8,151.3,877.2,8.6,41.92201051,-87.65461957,"(41.92201051, -87.65461957)"
2018,101356,DePaul College Prep,Not Submitted,3633 N. California,60618,0.0,false,IRVING PARK,K-12 School,202400,1961,1,796,,,11418334.2,,,,,,,,,,41.94809411,-87.69742569,"(41.94809411, -87.69742569)"
2018,243578,(IL610) - 2400 Lakeview Condo,Submitted,2400 N. Lakeview,60614,3.0,false,LINCOLN PARK,Multifamily Housing,320368,1963,1,12088,48,7563571.5,22113583.8,,,,92.6,138.6,93.9,139.7,2432.9,7.6,41.92586851,-87.63943267,"(41.92586851, -87.63943267)"
2018,100878,1521 1523 W SHERWIN AVE,Not Submitted,1521 1523 W SHERWIN AVE,60626,0.0,false,ROGERS PARK,,107430,,1,2998,,,,,,,,,,,,,42.01036185,-87.66829765,"(42.01036185, -87.66829765)"
2018,135080,537 S. Dearborn St.,Submitted,537 S. Dearborn St.,60605,4.0,false,LOOP,Multifamily Housing,78000,1892,1,2037,73,2346988.6,1541257.2,,,,49.8,105,48.3,101.6,472.3,6.1,41.86863212,-87.62730687,"(41.86863212, -87.62730687)"
2018,160454,River North Park,Submitted,320 West Illinois St.,60654,4.0,false,NEAR NORTH SIDE,Multifamily Housing,461526,1985,1,11013,86,14422155.5,4509203.7,,,,41,97.8,41.4,98.7,2638.8,5.7,41.890778,-87.636431,"(41.890778, -87.636431)"
2018,231536,Neapolitan,Submitted,1212 N Wells,60610,1.0,false,NEAR NORTH SIDE,Multifamily Housing,117760,2001,1,4175,24,4466908.5,7454199.9,,,,101.2,172.7,97.5,166.4,1139.1,9.7,41.90436982,-87.63501568,"(41.90436982, -87.63501568)"
2018,119685,ECD Streeterville Hotel LLC,Submitted,216 E. Ontario,60611,1.0,false,NEAR NORTH SIDE,Hotel,89000,2001,1,7054,8,5992778.8,3429610.3,,,,105.9,229,104.5,224.6,1179.1,13.2,41.89579275,-87.62247957,"(41.89579275, -87.62247957)"
2018,109549,Lunt Avenue Condominium & Health Club,Submitted,1327-1337 W. Lunt Ave.,60626,3.0,false,ROGERS PARK,Multifamily Housing,59768,1925,1,1768,45,455205.2,4263133,,,,78.9,96.2,81.3,97.7,302.2,5.1,42.01036185,-87.66829765,"(42.01036185, -87.66829765)"
2018,100867,Rush University Medical Center,Submitted,1653 W Congress Pkwy,60612,1.0,false,NEAR WEST SIDE,Hospital (General Medical & Surgical),3888568,1982,19,120,9,466597141.6,362280220.6,247432610.7,,,276.8,510.4,273.1,502,113296.6,29.1,41.875121,-87.668005,"(41.875121, -87.668005)"
2018,250078,Henry Horner,Submitted,1815 W. MONROE STREET,60612,4.0,false,NEAR WEST SIDE,Multifamily Housing,483032,1969,3,8270,100,3487371.1,6096955.5,,,,19.8,33.5,19.5,33.1,904,1.9,41.88005275,-87.67231085,"(41.88005275, -87.67231085)"
2018,160270,Grand Kingsbury LLC,Submitted,520 N. Kingsbury,60654,1.5,false,NEAR NORTH SIDE,Multifamily Housing,497185,2007,1,15317,35,14769739.4,30764208.1,,,,91.6,148.1,92.4,148.8,4091.2,8.2,41.89101955,-87.64008503,"(41.89101955, -87.64008503)"
2018,251584,Deneen Eleme-CPS,Submitted,7240 S Wabash Ave,60619,1.0,false,GREATER GRAND CROSSING,K-12 School,87736,1955,1,534,22,3126190.4,5392175.6,,,,97.1,164.3,95.2,162,806.5,9.2,41.76239877,-87.62373586,"(41.76239877, -87.62373586)"
2018,260074,236-Senior Suites of Rainbow Beach,Submitted,2804 E. 77th Place,60649,1.0,false,SOUTH SHORE,Senior Care Community,60500,2000,1,3687,10,1897307.4,4472999.6,,,,105.3,165.4,106.4,166.7,553.2,9.1,41.76259226,-87.57231648,"(41.76259226, -87.57231648)"
